Product,Price,Quantity,Sales,Date,Region
chartreuse morsel,3.0,577.0,1731.0,2018-02-10,east
chartreuse morsel,3.0,545.0,1635.0,2018-02-10,west
periwinkle morsel,1.25,546.0,682.5,2018-02-10,north
periwinkle morsel,1.25,550.0,687.5,2018-02-10,south
periwinkle morsel,1.25,519.0,648.75,2018-02-10,east
periwinkle morsel,1.25,586.0,732.5,2018-02-10,west
vermilion morsel,4.99,537.0,2679.63,2018-02-10,north
vermilion morsel,4.99,571.0,2849.29,2018-02-10,south
vermilion morsel,4.99,546.0,2724.54,2018-02-10,east
vermilion morsel,4.99,549.0,2739.51,2018-02-10,west
lapis morsel,1.99,599.0,1192.01,2018-02-10,north
lapis morsel,1.99,570.0,1134.3,2018-02-10,south
lapis morsel,1.99,557.0,1108.43,2018-02-10,east
lapis morsel,1.99,580.0,1154.2,2018-02-10,west
pink morsel,3.0,518.0,1554.0,2018-02-11,north
pink morsel,3.0,529.0,1587.0,2018-02-11,south
pink morsel,3.0,521.0,1563.0,2018-02-11,east
pink morsel,3.0,588.0,1764.0,2018-02-11,west
gold morsel,9.99,518.0,5174.82,2018-02-11,north
gold morsel,9.99,578.0,5774.22,2018-02-11,south
gold morsel,9.99,534.0,5334.66,2018-02-11,east
gold morsel,9.99,508.0,5074.92,2018-02-11,west
magenta morsel,2.5,579.0,1447.5,2018-02-11,north
magenta morsel,2.5,516.0,1290.0,2018-02-11,south
magenta morsel,2.5,543.0,1357.5,2018-02-11,east
magenta morsel,2.5,500.0,1250.0,2018-02-11,west
chartreuse morsel,3.0,589.0,1767.0,2018-02-11,north
chartreuse morsel,3.0,511.0,1533.0,2018-02-11,south
chartreuse morsel,3.0,550.0,1650.0,2018-02-11,east
chartreuse morsel,3.0,515.0,1545.0,2018-02-11,west
periwinkle morsel,1.25,572.0,715.0,2018-02-11,north
periwinkle morsel,1.25,503.0,628.75,2018-02-11,south
periwinkle morsel,1.25,545.0,681.25,2018-02-11,east
periwinkle morsel,1.25,540.0,675.0,2018-02-11,west
vermilion morsel,4.99,521.0,2599.79,2018-02-11,north
vermilion morsel,4.99,503.0,2509.9700000000003,2018-02-11,south
vermilion morsel,4.99,558.0,2784.42,2018-02-11,east
vermilion morsel,4.99,548.0,2734.52,2018-02-11,west
lapis morsel,1.99,501.0,996.99,2018-02-11,north
lapis morsel,1.99,567.0,1128.33,2018-02-11,south
lapis morsel,1.99,543.0,1080.57,2018-02-11,east
lapis morsel,1.99,579.0,1152.21,2018-02-11,west
pink morsel,3.0,586.0,1758.0,2018-02-12,north
pink morsel,3.0,536.0,1608.0,2018-02-12,south
pink morsel,3.0,523.0,1569.0,2018-02-12,east
pink morsel,3.0,551.0,1653.0,2018-02-12,west
gold morsel,9.99,534.0,5334.66,2018-02-12,north
gold morsel,9.99,543.0,5424.57,2018-02-12,south
gold morsel,9.99,511.0,5104.89,2018-02-12,east
gold morsel,9.99,515.0,5144.85,2018-02-12,west
magenta morsel,2.5,500.0,1250.0,2018-02-12,north
magenta morsel,2.5,532.0,1330.0,2018-02-12,south
magenta morsel,2.5,517.0,1292.5,2018-02-12,east
magenta morsel,2.5,530.0,1325.0,2018-02-12,west
chartreuse morsel,3.0,541.0,1623.0,2018-02-12,north
chartreuse morsel,3.0,521.0,1563.0,2018-02-12,south
chartreuse morsel,3.0,531.0,1593.0,2018-02-12,east
chartreuse morsel,3.0,509.0,1527.0,2018-02-12,west
periwinkle morsel,1.25,522.0,652.5,2018-02-12,north
periwinkle morsel,1.25,502.0,627.5,2018-02-12,south
periwinkle morsel,1.25,522.0,652.5,2018-02-12,east
periwinkle morsel,1.25,579.0,723.75,2018-02-12,west
vermilion morsel,4.99,509.0,2539.9100000000003,2018-02-12,north
vermilion morsel,4.99,594.0,2964.06,2018-02-12,south
vermilion morsel,4.99,580.0,2894.2000000000003,2018-02-12,east
vermilion morsel,4.99,523.0,2609.77,2018-02-12,west
lapis morsel,1.99,578.0,1150.22,2018-02-12,north
lapis morsel,1.99,573.0,1140.27,2018-02-12,south
lapis morsel,1.99,523.0,1040.77,2018-02-12,east
lapis morsel,1.99,507.0,1008.93,2018-02-12,west
pink morsel,3.0,524.0,1572.0,2018-02-13,north
pink morsel,3.0,572.0,1716.0,2018-02-13,south
pink morsel,3.0,591.0,1773.0,2018-02-13,east
pink morsel,3.0,575.0,1725.0,2018-02-13,west
gold morsel,9.99,521.0,5204.79,2018-02-13,north
gold morsel,9.99,584.0,5834.16,2018-02-13,south
gold morsel,9.99,516.0,5154.84,2018-02-13,east
gold morsel,9.99,517.0,5164.83,2018-02-13,west
magenta morsel,2.5,547.0,1367.5,2018-02-13,north
magenta morsel,2.5,597.0,1492.5,2018-02-13,south
magenta morsel,2.5,599.0,1497.5,2018-02-13,east
magenta morsel,2.5,585.0,1462.5,2018-02-13,west
chartreuse morsel,3.0,578.0,1734.0,2018-02-13,north
chartreuse morsel,3.0,572.0,1716.0,2018-02-13,south
chartreuse morsel,3.0,590.0,1770.0,2018-02-13,east
chartreuse morsel,3.0,512.0,1536.0,2018-02-13,west
periwinkle morsel,1.25,515.0,643.75,2018-02-13,north
periwinkle morsel,1.25,504.0,630.0,2018-02-13,south
periwinkle morsel,1.25,538.0,672.5,2018-02-13,east
periwinkle morsel,1.25,515.0,643.75,2018-02-13,west
vermilion morsel,4.99,585.0,2919.15,2018-02-13,north
vermilion morsel,4.99,571.0,2849.29,2018-02-13,south
vermilion morsel,4.99,538.0,2684.62,2018-02-13,east
vermilion morsel,4.99,500.0,2495.0,2018-02-13,west
lapis morsel,1.99,501.0,996.99,2018-02-13,north
lapis morsel,1.99,541.0,1076.59,2018-02-13,south
lapis morsel,1.99,564.0,1122.36,2018-02-13,east
lapis morsel,1.99,501.0,996.99,2018-02-13,west
pink morsel,3.0,589.0,1767.0,2018-02-14,north
pink morsel,3.0,570.0,1710.0,2018-02-14,south
pink morsel,3.0,566.0,1698.0,2018-02-14,east
pink morsel,3.0,504.0,1512.0,2018-02-14,west
gold morsel,9.99,508.0,5074.92,2018-02-14,north
gold morsel,9.99,576.0,5754.24,2018-02-14,south
gold morsel,9.99,536.0,5354.64,2018-02-14,east
gold morsel,9.99,546.0,5454.54,2018-02-14,west
magenta morsel,2.5,594.0,1485.0,2018-02-14,north
magenta morsel,2.5,542.0,1355.0,2018-02-14,south
magenta morsel,2.5,507.0,1267.5,2018-02-14,east
magenta morsel,2.5,516.0,1290.0,2018-02-14,west
chartreuse morsel,3.0,527.0,1581.0,2018-02-14,north
chartreuse morsel,3.0,566.0,1698.0,2018-02-14,south
chartreuse morsel,3.0,598.0,1794.0,2018-02-14,east
chartreuse morsel,3.0,524.0,1572.0,2018-02-14,west
periwinkle morsel,1.25,595.0,743.75,2018-02-14,north
periwinkle morsel,1.25,600.0,750.0,2018-02-14,south
periwinkle morsel,1.25,558.0,697.5,2018-02-14,east
periwinkle morsel,1.25,527.0,658.75,2018-02-14,west
vermilion morsel,4.99,525.0,2619.75,2018-02-14,north
vermilion morsel,4.99,532.0,2654.6800000000003,2018-02-14,south
vermilion morsel,4.99,547.0,2729.53,2018-02-14,east
vermilion morsel,4.99,512.0,2554.88,2018-02-14,west
lapis morsel,1.99,531.0,1056.69,2018-02-14,north
lapis morsel,1.99,545.0,1084.55,2018-02-14,south
lapis morsel,1.99,596.0,1186.04,2018-02-14,east
lapis morsel,1.99,517.0,1028.83,2018-02-14,west
pink morsel,3.0,582.0,1746.0,2018-02-15,north
pink morsel,3.0,578.0,1734.0,2018-02-15,south
pink morsel,3.0,508.0,1524.0,2018-02-15,east
pink morsel,3.0,538.0,1614.0,2018-02-15,west
gold morsel,9.99,535.0,5344.650000000001,2018-02-15,north
gold morsel,9.99,508.0,5074.92,2018-02-15,south
gold morsel,9.99,577.0,5764.2300000000005,2018-02-15,east
gold morsel,9.99,511.0,5104.89,2018-02-15,west
magenta morsel,2.5,523.0,1307.5,2018-02-15,north
magenta morsel,2.5,530.0,1325.0,2018-02-15,south
magenta morsel,2.5,582.0,1455.0,2018-02-15,east
magenta morsel,2.5,562.0,1405.0,2018-02-15,west
chartreuse morsel,3.0,535.0,1605.0,2018-02-15,north
chartreuse morsel,3.0,533.0,1599.0,2018-02-15,south
chartreuse morsel,3.0,588.0,1764.0,2018-02-15,east
chartreuse morsel,3.0,508.0,1524.0,2018-02-15,west
periwinkle morsel,1.25,511.0,638.75,2018-02-15,north
periwinkle morsel,1.25,541.0,676.25,2018-02-15,south
periwinkle morsel,1.25,529.0,661.25,2018-02-15,east
periwinkle morsel,1.25,570.0,712.5,2018-02-15,west
vermilion morsel,4.99,518.0,2584.82,2018-02-15,north
vermilion morsel,4.99,533.0,2659.67,2018-02-15,south
vermilion morsel,4.99,533.0,2659.67,2018-02-15,east
vermilion morsel,4.99,553.0,2759.4700000000003,2018-02-15,west
lapis morsel,1.99,526.0,1046.74,2018-02-15,north
lapis morsel,1.99,555.0,1104.45,2018-02-15,south
lapis morsel,1.99,552.0,1098.48,2018-02-15,east
lapis morsel,1.99,553.0,1100.47,2018-02-15,west
pink morsel,3.0,526.0,1578.0,2018-02-16,north
pink morsel,3.0,594.0,1782.0,2018-02-16,south
pink morsel,3.0,509.0,1527.0,2018-02-16,east
pink morsel,3.0,584.0,1752.0,2018-02-16,west
gold morsel,9.99,506.0,5054.9400000000005,2018-02-16,north
gold morsel,9.99,591.0,5904.09,2018-02-16,south
gold morsel,9.99,503.0,5024.97,2018-02-16,east
gold morsel,9.99,519.0,5184.81,2018-02-16,west
magenta morsel,2.5,548.0,1370.0,2018-02-16,north
magenta morsel,2.5,578.0,1445.0,2018-02-16,south
magenta morsel,2.5,518.0,1295.0,2018-02-16,east
magenta morsel,2.5,564.0,1410.0,2018-02-16,west
chartreuse morsel,3.0,500.0,1500.0,2018-02-16,north
chartreuse morsel,3.0,533.0,1599.0,2018-02-16,south
chartreuse morsel,3.0,501.0,1503.0,2018-02-16,east
chartreuse morsel,3.0,529.0,1587.0,2018-02-16,west
periwinkle morsel,1.25,597.0,746.25,2018-02-16,north
periwinkle morsel,1.25,521.0,651.25,2018-02-16,south
periwinkle morsel,1.25,557.0,696.25,2018-02-16,east
periwinkle morsel,1.25,542.0,677.5,2018-02-16,west
vermilion morsel,4.99,519.0,2589.81,2018-02-16,north
vermilion morsel,4.99,593.0,2959.07,2018-02-16,south
vermilion morsel,4.99,571.0,2849.29,2018-02-16,east
vermilion morsel,4.99,510.0,2544.9,2018-02-16,west
lapis morsel,1.99,515.0,1024.85,2018-02-16,north
lapis morsel,1.99,510.0,1014.9,2018-02-16,south
lapis morsel,1.99,521.0,1036.79,2018-02-16,east
lapis morsel,1.99,574.0,1142.26,2018-02-16,west
pink morsel,3.0,595.0,1785.0,2018-02-17,north
pink morsel,3.0,563.0,1689.0,2018-02-17,south
pink morsel,3.0,547.0,1641.0,2018-02-17,east
pink morsel,3.0,525.0,1575.0,2018-02-17,west
gold morsel,9.99,564.0,5634.36,2018-02-17,north
gold morsel,9.99,573.0,5724.27,2018-02-17,south
gold morsel,9.99,524.0,5234.76,2018-02-17,east
gold morsel,9.99,530.0,5294.7,2018-02-17,west
magenta morsel,2.5,595.0,1487.5,2018-02-17,north
magenta morsel,2.5,503.0,1257.5,2018-02-17,south
magenta morsel,2.5,580.0,1450.0,2018-02-17,east
magenta morsel,2.5,568.0,1420.0,2018-02-17,west
chartreuse morsel,3.0,528.0,1584.0,2018-02-17,north
chartreuse morsel,3.0,573.0,1719.0,2018-02-17,south
chartreuse morsel,3.0,578.0,1734.0,2018-02-17,east
chartreuse morsel,3.0,550.0,1650.0,2018-02-17,west
periwinkle morsel,1.25,555.0,693.75,2018-02-17,north
periwinkle morsel,1.25,531.0,663.75,2018-02-17,south
periwinkle morsel,1.25,515.0,643.75,2018-02-17,east
periwinkle morsel,1.25,545.0,681.25,2018-02-17,west
vermilion morsel,4.99,520.0,2594.8,2018-02-17,north
vermilion morsel,4.99,575.0,2869.25,2018-02-17,south
vermilion morsel,4.99,573.0,2859.27,2018-02-17,east
vermilion morsel,4.99,520.0,2594.8,2018-02-17,west
lapis morsel,1.99,515.0,1024.85,2018-02-17,north
lapis morsel,1.99,599.0,1192.01,2018-02-17,south
lapis morsel,1.99,569.0,1132.31,2018-02-17,east
lapis morsel,1.99,589.0,1172.11,2018-02-17,west
pink morsel,3.0,548.0,1644.0,2018-02-18,north
pink morsel,3.0,558.0,1674.0,2018-02-18,south
pink morsel,3.0,517.0,1551.0,2018-02-18,east
pink morsel,3.0,579.0,1737.0,2018-02-18,west
gold morsel,9.99,521.0,5204.79,2018-02-18,north
gold morsel,9.99,568.0,5674.32,2018-02-18,south
gold morsel,9.99,540.0,5394.6,2018-02-18,east
gold morsel,9.99,583.0,5824.17,2018-02-18,west
magenta morsel,2.5,575.0,1437.5,2018-02-18,north
magenta morsel,2.5,506.0,1265.0,2018-02-18,south
magenta morsel,2.5,532.0,1330.0,2018-02-18,east
magenta morsel,2.5,509.0,1272.5,2018-02-18,west
chartreuse morsel,3.0,591.0,1773.0,2018-02-18,north
chartreuse morsel,3.0,512.0,1536.0,2018-02-18,south
chartreuse morsel,3.0,539.0,1617.0,2018-02-18,east
chartreuse morsel,3.0,564.0,1692.0,2018-02-18,west
periwinkle morsel,1.25,513.0,641.25,2018-02-18,north
periwinkle morsel,1.25,529.0,661.25,2018-02-18,south
periwinkle morsel,1.25,577.0,721.25,2018-02-18,east
periwinkle morsel,1.25,504.0,630.0,2018-02-18,west
vermilion morsel,4.99,569.0,2839.31,2018-02-18,north
vermilion morsel,4.99,578.0,2884.2200000000003,2018-02-18,south
vermilion morsel,4.99,516.0,2574.84,2018-02-18,east
vermilion morsel,4.99,528.0,2634.7200000000003,2018-02-18,west
lapis morsel,1.99,575.0,1144.25,2018-02-18,north
lapis morsel,1.99,536.0,1066.64,2018-02-18,south
lapis morsel,1.99,504.0,1002.96,2018-02-18,east
lapis morsel,1.99,573.0,1140.27,2018-02-18,west
pink morsel,3.0,521.0,1563.0,2018-02-19,north
pink morsel,3.0,549.0,1647.0,2018-02-19,south
pink morsel,3.0,535.0,1605.0,2018-02-19,east
pink morsel,3.0,513.0,1539.0,2018-02-19,west
gold morsel,9.99,562.0,5614.38,2018-02-19,north
gold morsel,9.99,593.0,5924.07,2018-02-19,south
gold morsel,9.99,593.0,5924.07,2018-02-19,east
gold morsel,9.99,597.0,5964.03,2018-02-19,west
magenta morsel,2.5,511.0,1277.5,2018-02-19,north
magenta morsel,2.5,509.0,1272.5,2018-02-19,south
magenta morsel,2.5,590.0,1475.0,2018-02-19,east
magenta morsel,2.5,575.0,1437.5,2018-02-19,west
chartreuse morsel,3.0,519.0,1557.0,2018-02-19,north
chartreuse morsel,3.0,521.0,1563.0,2018-02-19,south
chartreuse morsel,3.0,532.0,1596.0,2018-02-19,east
chartreuse morsel,3.0,504.0,1512.0,2018-02-19,west
periwinkle morsel,1.25,508.0,635.0,2018-02-19,north
periwinkle morsel,1.25,528.0,660.0,2018-02-19,south
periwinkle morsel,1.25,555.0,693.75,2018-02-19,east
periwinkle morsel,1.25,582.0,727.5,2018-02-19,west
vermilion morsel,4.99,596.0,2974.04,2018-02-19,north
vermilion morsel,4.99,570.0,2844.3,2018-02-19,south
vermilion morsel,4.99,572.0,2854.28,2018-02-19,east
vermilion morsel,4.99,594.0,2964.06,2018-02-19,west
lapis morsel,1.99,551.0,1096.49,2018-02-19,north
lapis morsel,1.99,503.0,1000.97,2018-02-19,south
lapis morsel,1.99,568.0,1130.32,2018-02-19,east
lapis morsel,1.99,561.0,1116.39,2018-02-19,west
pink morsel,3.0,566.0,1698.0,2018-02-20,north
pink morsel,3.0,525.0,1575.0,2018-02-20,south
pink morsel,3.0,500.0,1500.0,2018-02-20,east
pink morsel,3.0,517.0,1551.0,2018-02-20,west
gold morsel,9.99,581.0,5804.1900000000005,2018-02-20,north
gold morsel,9.99,544.0,5434.56,2018-02-20,south
gold morsel,9.99,569.0,5684.31,2018-02-20,east
gold morsel,9.99,595.0,5944.05,2018-02-20,west
magenta morsel,2.5,521.0,1302.5,2018-02-20,north
magenta morsel,2.5,583.0,1457.5,2018-02-20,south
magenta morsel,2.5,578.0,1445.0,2018-02-20,east
magenta morsel,2.5,573.0,1432.5,2018-02-20,west
chartreuse morsel,3.0,557.0,1671.0,2018-02-20,north
chartreuse morsel,3.0,582.0,1746.0,2018-02-20,south
chartreuse morsel,3.0,552.0,1656.0,2018-02-20,east
chartreuse morsel,3.0,524.0,1572.0,2018-02-20,west
periwinkle morsel,1.25,593.0,741.25,2018-02-20,north
periwinkle morsel,1.25,530.0,662.5,2018-02-20,south
periwinkle morsel,1.25,521.0,651.25,2018-02-20,east
periwinkle morsel,1.25,597.0,746.25,2018-02-20,west
vermilion morsel,4.99,581.0,2899.19,2018-02-20,north
vermilion morsel,4.99,521.0,2599.79,2018-02-20,south
vermilion morsel,4.99,583.0,2909.17,2018-02-20,east
vermilion morsel,4.99,517.0,2579.83,2018-02-20,west
lapis morsel,1.99,522.0,1038.78,2018-02-20,north
lapis morsel,1.99,533.0,1060.67,2018-02-20,south
lapis morsel,1.99,587.0,1168.1299999999999,2018-02-20,east
lapis morsel,1.99,518.0,1030.82,2018-02-20,west
pink morsel,3.0,579.0,1737.0,2018-02-21,north
pink morsel,3.0,514.0,1542.0,2018-02-21,south
pink morsel,3.0,555.0,1665.0,2018-02-21,east
pink morsel,3.0,516.0,1548.0,2018-02-21,west
gold morsel,9.99,575.0,5744.25,2018-02-21,north
gold morsel,9.99,500.0,4995.0,2018-02-21,south
gold morsel,9.99,558.0,5574.42,2018-02-21,east
gold morsel,9.99,508.0,5074.92,2018-02-21,west
magenta morsel,2.5,587.0,1467.5,2018-02-21,north
magenta morsel,2.5,569.0,1422.5,2018-02-21,south
magenta morsel,2.5,507.0,1267.5,2018-02-21,east
magenta morsel,2.5,517.0,1292.5,2018-02-21,west
chartreuse morsel,3.0,546.0,1638.0,2018-02-21,north
chartreuse morsel,3.0,563.0,1689.0,2018-02-21,south
chartreuse morsel,3.0,512.0,1536.0,2018-02-21,east
chartreuse morsel,3.0,556.0,1668.0,2018-02-21,west
periwinkle morsel,1.25,507.0,633.75,2018-02-21,north
periwinkle morsel,1.25,584.0,730.0,2018-02-21,south
periwinkle morsel,1.25,558.0,697.5,2018-02-21,east
periwinkle morsel,1.25,594.0,742.5,2018-02-21,west
vermilion morsel,4.99,557.0,2779.4300000000003,2018-02-21,north
vermilion morsel,4.99,522.0,2604.78,2018-02-21,south
vermilion morsel,4.99,568.0,2834.32,2018-02-21,east
vermilion morsel,4.99,588.0,2934.1200000000003,2018-02-21,west
lapis morsel,1.99,596.0,1186.04,2018-02-21,north
lapis morsel,1.99,572.0,1138.28,2018-02-21,south
lapis morsel,1.99,524.0,1042.76,2018-02-21,east
lapis morsel,1.99,537.0,1068.6299999999999,2018-02-21,west
pink morsel,3.0,545.0,1635.0,2018-02-22,north
pink morsel,3.0,544.0,1632.0,2018-02-22,south
pink morsel,3.0,556.0,1668.0,2018-02-22,east
pink morsel,3.0,588.0,1764.0,2018-02-22,west
gold morsel,9.99,529.0,5284.71,2018-02-22,north
gold morsel,9.99,531.0,5304.6900000000005,2018-02-22,south
gold morsel,9.99,516.0,5154.84,2018-02-22,east
gold morsel,9.99,542.0,5414.58,2018-02-22,west
magenta morsel,2.5,577.0,1442.5,2018-02-22,north
magenta morsel,2.5,525.0,1312.5,2018-02-22,south
magenta morsel,2.5,520.0,1300.0,2018-02-22,east
magenta morsel,2.5,530.0,1325.0,2018-02-22,west
chartreuse morsel,3.0,554.0,1662.0,2018-02-22,north
chartreuse morsel,3.0,528.0,1584.0,2018-02-22,south
chartreuse morsel,3.0,533.0,1599.0,2018-02-22,east
chartreuse morsel,3.0,521.0,1563.0,2018-02-22,west
periwinkle morsel,1.25,576.0,720.0,2018-02-22,north
periwinkle morsel,1.25,586.0,732.5,2018-02-22,south
periwinkle morsel,1.25,521.0,651.25,2018-02-22,east
periwinkle morsel,1.25,507.0,633.75,2018-02-22,west
vermilion morsel,4.99,524.0,2614.76,2018-02-22,north
vermilion morsel,4.99,522.0,2604.78,2018-02-22,south
vermilion morsel,4.99,543.0,2709.57,2018-02-22,east
vermilion morsel,4.99,573.0,2859.27,2018-02-22,west
lapis morsel,1.99,505.0,1004.95,2018-02-22,north
lapis morsel,1.99,508.0,1010.92,2018-02-22,south
